year,may_july_precip_inches,may_july_avg_temp_f,july_pdsi,yield_residual,july_price_residual,harvest_price_residual
1996,15.6,65.5,1.51,-3.2412500691779087,0.6149560403495103,-0.41296121794923796
1997,11.36,66.0,-0.36,-1.9922403951112244,-0.38531903362575637,-0.01556461586953467
1998,15.37,68.6,2.39,-2.557607171253693,-0.3940868447081862,-0.5385987526401111
1999,15.39,68.7,3.1,-2.2309116187323923,-0.23218903161342686,-0.17716257276056763
2000,14.25,67.6,1.11,-5.752957101803133,-0.5269837747547416,-0.4348154429306657
2001,14.23,68.1,-0.37,-3.2480181670398167,-0.23506992394035392,-0.48789905195104316
2002,11.85,68.6,0.06,10.612882018827491,0.13628199443362699,0.5241657557779831
2003,13.2,66.1,0.78,0.9204988344435776,-0.2364435533744429,0.16050299115792424
2004,15.62,66.0,1.47,21.285351860775307,-0.43029901847402513,-0.2528629399633283
2005,12.37,68.4,-0.21,14.171865533642915,0.2965820503969501,0.011454506516692775
2006,8.15,68.8,-2.39,9.01231605177125,-0.02036883559060715,0.9217818474466738
2007,12.11,69.6,1.27,4.710784217254201,-0.594862488830508,-0.17327207822382312
2008,20.43,66.6,6.45,-7.490715626855433,1.2603930006995299,-1.5183754761441195
2009,13.55,65.6,3.98,4.9030182615241245,-0.39498041910597614,0.43162007043518447
2010,22.36,68.4,6.69,-18.586033566997486,0.26474521342291085,1.6428583613155232
2011,14.59,68.9,-0.23,-0.7022617557973945,0.719267395376468,0.5523242245449481
2012,7.49,72.0,-3.56,-31.667756493569357,1.9290030132142866,0.9293745208760431
2013,15.28,66.7,-0.68,-12.481146849479671,-0.4798684896049227,-1.565961726895328
2014,16.0,66.3,2.27,-6.428088363726459,-0.8061035187439383,-0.9969266025161821
2015,16.94,67.1,3.18,3.5170324506905786,0.40332707629423215,-0.030391478137037575
2016,13.98,68.4,3.5,11.587798742515247,0.03303596459933661,0.3156139628922281
2017,11.24,68.1,2.06,11.016422729657705,-0.04854362819759306,-0.05299932947802999
2018,15.64,71.1,1.53,3.708881658425611,-0.4308490631519938,-0.1191620940980892
2019,15.5,67.0,4.7,-2.6577920677358975,0.6537019678467442,0.20275429688153457
2020,12.45,68.6,-0.36,-16.32266532090574,-0.43922097812595834,-0.186056884487927
2021,11.21,68.6,-1.43,10.400045400743807,0.7856350756724246,1.3911068677407006
2022,10.35,69.0,-0.89,3.0510794806537263,-0.16636997588471558,0.8544638920205629
2023,8.57,68.7,-1.99,3.831026413018918,-0.7001438393778443,-0.8521296114497743
2024,18.02,68.7,2.43,3.079510573705562,-0.40601292123277555,-0.157134064870471
2025,17.35,68.9,2.54,-0.4490696594602639,-0.16921345396825477,0.03425264275927242
