year,symbol,preseason_date,preseason_futures_usd_per_bushel,july_update_date,july_update_futures_usd_per_bushel,harvest_date,harvest_futures_usd_per_bushel,source,source_url
1996,CZ96,1996-03-01,3.1175,1996-07-16,3.6725,1996-11-01,2.63,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
1997,CZ97,1997-03-03,2.8825,1997-07-16,2.5075,1997-11-03,2.8525,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
1998,CZ98,1998-03-02,2.8425,1998-07-16,2.355,1998-11-02,2.1675,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
1999,CZ99,1999-03-01,2.34,1999-07-16,1.9875,1999-11-01,1.9825,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2000,CZ00,2000-03-01,2.485,2000-07-17,1.9125,2000-11-01,2.06,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2001,CZ01,2001-03-01,2.51,2001-07-16,2.285,2001-11-01,2.04,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2002,CZ02,2002-03-01,2.315,2002-07-16,2.445,2002-11-01,2.475,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2003,CZ03,2003-03-03,2.3875,2003-07-16,2.1175,2003-11-03,2.4,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2004,CZ04,2004-03-01,2.965,2004-07-16,2.475,2004-11-01,2.0,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2005,CZ05,2005-03-01,2.4,2005-07-18,2.7,2005-11-01,1.9675,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2006,CZ06,2006-03-01,2.615,2006-07-17,2.68,2006-11-01,3.335,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2007,CZ07,2007-03-01,4.1325,2007-07-16,3.485,2007-11-01,3.6875,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2008,CZ08,2008-03-03,5.76,2008-07-16,6.7725,2008-11-03,4.03,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2009,CZ09,2009-03-02,3.8025,2009-07-16,3.2525,2009-11-02,3.8225,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2010,CZ10,2010-03-01,4.065,2010-07-16,4.0725,2010-11-01,5.7725,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2011,CZ11,2011-03-01,6.0475,2011-07-18,6.77,2011-11-01,6.5425,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2012,CZ12,2012-03-01,5.6675,2012-07-16,7.725,2012-11-01,7.51,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2013,CZ13,2013-03-01,5.5675,2013-07-16,5.1075,2013-11-01,4.2725,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2014,CZ14,2014-03-03,4.765,2014-07-16,3.8675,2014-11-03,3.735,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2015,CZ15,2015-03-02,4.1325,2015-07-16,4.41,2015-11-02,3.765,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2016,CZ16,2016-03-01,3.7375,2016-07-18,3.6325,2016-11-01,3.49,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2017,CZ17,2017-03-01,4.0125,2017-07-17,3.88,2017-11-01,3.4825,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2018,CZ18,2018-03-01,4.0475,2018-07-16,3.5525,2018-11-01,3.6675,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2019,CZ19,2019-03-01,3.9425,2019-07-16,4.4125,2019-11-01,3.8925,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2020,CZ20,2020-03-02,3.8075,2020-07-16,3.375,2020-11-02,3.975,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2021,CZ21,2021-03-01,4.6875,2021-07-16,5.52,2021-11-01,5.79,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2022,CZ22,2022-03-01,6.2475,2022-07-18,6.1075,2022-11-01,6.9775,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2023,CZ23,2023-03-01,5.6925,2023-07-17,5.06,2023-11-01,4.75,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2024,ZCZ24,2024-03-01,4.5925,2024-07-16,4.0875,2024-11-01,4.145,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
2025,ZCZ25,2025-03-03,4.5125,2025-07-16,4.24,2025-11-03,4.3425,Barchart public historical interface via TradingCharts,https://futures.tradingcharts.com/historical/
