year,may_july_precip_inches,may_july_avg_temp_f,july_pdsi,yield_residual,july_futures_residual,harvest_futures_residual
1996,15.6,65.5,1.51,-3.2412500691780224,0.6149560403495117,-0.4129612179492374
1997,11.36,66.0,-0.36,-1.992240395111338,-0.38531903362575404,-0.01556461586953414
1998,15.37,68.6,2.39,-2.5576071712538067,-0.39408684470818545,-0.5385987526401107
1999,15.39,68.7,3.1,-2.2309116187325344,-0.23218903161342588,-0.17716257276056713
2000,14.25,67.6,1.11,-5.752957101803247,-0.52698377475474,-0.4348154429306652
2001,14.23,68.1,-0.37,-3.2480181670399304,-0.23506992394035153,-0.48789905195104255
2002,11.85,68.6,0.06,10.612882018827406,0.1362819944336285,0.5241657557779833
2003,13.2,66.1,0.78,0.9204988344434923,-0.23644355337444178,0.16050299115792466
2004,15.62,66.0,1.47,21.285351860775222,-0.43029901847402435,-0.2528629399633283
2005,12.37,68.4,-0.21,14.17186553364283,0.29658205039695174,0.011454506516693108
2006,8.15,68.8,-2.39,9.012316051771194,-0.02036883559060544,0.9217818474466735
2007,12.11,69.6,1.27,4.710784217254144,-0.5948624888305076,-0.17327207822382268
2008,20.43,66.6,6.45,-7.490715626855547,1.2603930006995285,-1.518375476144119
2009,13.55,65.6,3.98,4.903018261524068,-0.3949804191059779,0.43162007043518397
2010,22.36,68.4,6.69,-18.5860335669976,0.26474521342290913,1.6428583613155239
2011,14.59,68.9,-0.23,-0.7022617557974513,0.7192673953764686,0.5523242245449478
2012,7.49,72.0,-3.56,-31.667756493569414,1.929003013214289,0.9293745208760434
2013,15.28,66.7,-0.68,-12.4811468494797,-0.4798684896049224,-1.565961726895328
2014,16.0,66.3,2.27,-6.428088363726488,-0.8061035187439403,-0.9969266025161831
2015,16.94,67.1,3.18,3.5170324506905217,0.40332707629423076,-0.030391478137037853
2016,13.98,68.4,3.5,11.58779874251519,0.033035964599335194,0.31561396289222765
2017,11.24,68.1,2.06,11.016422729657648,-0.04854362819759425,-0.0529993294780311
2018,15.64,71.1,1.53,3.7088816584255824,-0.4308490631519948,-0.11916209409808942
2019,15.5,67.0,4.7,-2.657792067735926,0.6537019678467413,0.20275429688153426
2020,12.45,68.6,-0.36,-16.32266532090574,-0.4392209781259594,-0.18605688448792798
2021,11.21,68.6,-1.43,10.400045400743778,0.7856350756724253,1.3911068677407004
2022,10.35,69.0,-0.89,3.0510794806537263,-0.16636997588471575,0.8544638920205627
2023,8.57,68.7,-1.99,3.83102641301889,-0.700143839377844,-0.8521296114497754
2024,18.02,68.7,2.43,3.079510573705562,-0.4060129212327776,-0.15713406487047132
2025,17.35,68.9,2.54,-0.4490696594602639,-0.16921345396825685,0.034252642759272145
