year,yield_bu_per_acre,harvested_acres,may_july_precip_inches,may_july_avg_temp_f,july_pdsi,symbol,preseason_date,preseason_futures_usd_per_bushel,july_update_date,july_update_futures_usd_per_bushel,harvest_date,harvest_futures_usd_per_bushel,july_futures_change,harvest_futures_change
1996,138.0,12400000,15.6,65.5,1.51,CZ96,1996-03-01,3.1175,1996-07-16,3.6725,1996-11-01,2.63,0.5549999999999997,-0.48750000000000027
1997,138.0,11900000,11.36,66.0,-0.36,CZ97,1997-03-03,2.8825,1997-07-16,2.5075,1997-11-03,2.8525,-0.375,-0.029999999999999805
1998,145.0,12200000,15.37,68.6,2.39,CZ98,1998-03-02,2.8425,1998-07-16,2.355,1998-11-02,2.1675,-0.4874999999999998,-0.6749999999999998
1999,149.0,11800000,15.39,68.7,3.1,CZ99,1999-03-01,2.34,1999-07-16,1.9875,1999-11-01,1.9825,-0.3524999999999998,-0.35749999999999993
2000,144.0,12000000,14.25,67.6,1.11,CZ00,2000-03-01,2.485,2000-07-17,1.9125,2000-11-01,2.06,-0.5724999999999998,-0.4249999999999998
2001,146.0,11400000,14.23,68.1,-0.37,CZ01,2001-03-01,2.51,2001-07-16,2.285,2001-11-01,2.04,-0.22499999999999964,-0.46999999999999975
2002,163.0,11850000,11.85,68.6,0.06,CZ02,2002-03-01,2.315,2002-07-16,2.445,2002-11-01,2.475,0.1299999999999999,0.16000000000000014
2003,157.0,11900000,13.2,66.1,0.78,CZ03,2003-03-03,2.3875,2003-07-16,2.1175,2003-11-03,2.4,-0.27,0.012499999999999734
2004,181.0,12400000,15.62,66.0,1.47,CZ04,2004-03-01,2.965,2004-07-16,2.475,2004-11-01,2.0,-0.48999999999999977,-0.9649999999999999
2005,173.0,12500000,12.37,68.4,-0.21,CZ05,2005-03-01,2.4,2005-07-18,2.7,2005-11-01,1.9675,0.30000000000000027,-0.4324999999999999
2006,166.0,12350000,8.15,68.8,-2.39,CZ06,2006-03-01,2.615,2006-07-17,2.68,2006-11-01,3.335,0.06499999999999995,0.7199999999999998
2007,171.0,13900000,12.11,69.6,1.27,CZ07,2007-03-01,4.1325,2007-07-16,3.485,2007-11-01,3.6875,-0.6475000000000004,-0.4450000000000003
2008,171.0,12800000,20.43,66.6,6.45,CZ08,2008-03-03,5.76,2008-07-16,6.7725,2008-11-03,4.03,1.0125000000000002,-1.7299999999999995
2009,181.0,13300000,13.55,65.6,3.98,CZ09,2009-03-02,3.8025,2009-07-16,3.2525,2009-11-02,3.8225,-0.5500000000000003,0.019999999999999574
2010,165.0,13050000,22.36,68.4,6.69,CZ10,2010-03-01,4.065,2010-07-16,4.0725,2010-11-01,5.7725,0.007499999999999396,1.7074999999999996
2011,172.0,13700000,14.59,68.9,-0.23,CZ11,2011-03-01,6.0475,2011-07-18,6.77,2011-11-01,6.5425,0.7224999999999993,0.4950000000000001
2012,137.0,13700000,7.49,72.0,-3.56,CZ12,2012-03-01,5.6675,2012-07-16,7.725,2012-11-01,7.51,2.057499999999999,1.8424999999999994
2013,164.0,13050000,15.28,66.7,-0.68,CZ13,2013-03-01,5.5675,2013-07-16,5.1075,2013-11-01,4.2725,-0.45999999999999996,-1.295
2014,178.0,13300000,16.0,66.3,2.27,CZ14,2014-03-03,4.765,2014-07-16,3.8675,2014-11-03,3.735,-0.8974999999999995,-1.0299999999999998
2015,192.0,13050000,16.94,67.1,3.18,CZ15,2015-03-02,4.1325,2015-07-16,4.41,2015-11-02,3.765,0.27749999999999986,-0.36750000000000016
2016,203.0,13500000,13.98,68.4,3.5,CZ16,2016-03-01,3.7375,2016-07-18,3.6325,2016-11-01,3.49,-0.10499999999999998,-0.2474999999999996
2017,202.0,12900000,11.24,68.1,2.06,CZ17,2017-03-01,4.0125,2017-07-17,3.88,2017-11-01,3.4825,-0.13250000000000028,-0.5300000000000002
2018,196.0,12750000,15.64,71.1,1.53,CZ18,2018-03-01,4.0475,2018-07-16,3.5525,2018-11-01,3.6675,-0.4950000000000001,-0.38000000000000034
2019,198.0,12950000,15.5,67.0,4.7,CZ19,2019-03-01,3.9425,2019-07-16,4.4125,2019-11-01,3.8925,0.46999999999999975,-0.04999999999999982
2020,177.0,12900000,12.45,68.6,-0.36,CZ20,2020-03-02,3.8075,2020-07-16,3.375,2020-11-02,3.975,-0.4325000000000001,0.16749999999999998
2021,204.0,12450000,11.21,68.6,-1.43,CZ21,2021-03-01,4.6875,2021-07-16,5.52,2021-11-01,5.79,0.8324999999999996,1.1025
2022,200.0,12350000,10.35,69.0,-0.89,CZ22,2022-03-01,6.2475,2022-07-18,6.1075,2022-11-01,6.9775,-0.13999999999999968,0.7300000000000004
2023,201.0,12550000,8.57,68.7,-1.99,CZ23,2023-03-01,5.6925,2023-07-17,5.06,2023-11-01,4.75,-0.6325000000000003,-0.9424999999999999
2024,211.0,12450000,18.02,68.7,2.43,ZCZ24,2024-03-01,4.5925,2024-07-16,4.0875,2024-11-01,4.145,-0.5049999999999999,-0.4475000000000007
2025,210.0,13200000,17.35,68.9,2.54,ZCZ25,2025-03-03,4.5125,2025-07-16,4.24,2025-11-03,4.3425,-0.27249999999999996,-0.16999999999999993
