year,yield_bu_per_acre,harvested_acres,source,source_url
1996,138.0,12400000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=1996
1997,138.0,11900000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=1997
1998,145.0,12200000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=1998
1999,149.0,11800000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=1999
2000,144.0,12000000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2000
2001,146.0,11400000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2001
2002,163.0,11850000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2002
2003,157.0,11900000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2003
2004,181.0,12400000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2004
2005,173.0,12500000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2005
2006,166.0,12350000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2006
2007,171.0,13900000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2007
2008,171.0,12800000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2008
2009,181.0,13300000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2009
2010,165.0,13050000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2010
2011,172.0,13700000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2011
2012,137.0,13700000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2012
2013,164.0,13050000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2013
2014,178.0,13300000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2014
2015,192.0,13050000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2015
2016,203.0,13500000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2016
2017,202.0,12900000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2017
2018,196.0,12750000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2018
2019,198.0,12950000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2019
2020,177.0,12900000,USDA NASS Annual Bulletin / Crop Production Summary,https://www.nass.usda.gov/Statistics_by_State/Iowa/Publications/Annual_Statistical_Bulletin/2025-Iowa-Annual-Bulletin.pdf
2021,204.0,12450000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2021
2022,200.0,12350000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2022
2023,201.0,12550000,USDA NASS State Agriculture Overview,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=Iowa&year=2023
2024,211.0,12450000,USDA NASS Annual Bulletin / Crop Production Summary,https://www.nass.usda.gov/Statistics_by_State/Iowa/Publications/Annual_Statistical_Bulletin/2025-Iowa-Annual-Bulletin.pdf
2025,210.0,13200000,USDA NASS Annual Bulletin / Crop Production Summary,https://esmis.nal.usda.gov/sites/default/release-files/795725/cropan26.pdf
